Barrel,Temp,RT_-1.8F,RT_-0.9F,RT_0.0F,RT_0.9F,RT_1.8F,HT_0.0F
1,105,0.338,0.277,0.521,0.325,0.289,0.611
1,105,0.41,0.349,0.59,0.396,0.358,0.672
1,105,0.513,0.46,0.687,0.506,0.462,0.755
1,105,0.617,0.578,0.772,0.62,0.572,0.812
1,105,0.715,0.704,0.836,0.738,0.686,0.84
1,105,0.769,0.787,0.853,0.812,0.759,0.819
1,105,0.784,0.83,0.832,0.846,0.794,0.77
1,105,0.761,0.843,0.767,0.844,0.795,0.672
1,105,0.704,0.811,0.675,0.804,0.76,0.561
1,105,0.621,0.742,0.561,0.726,0.691,0.439
1,105,0.52,0.642,0.434,0.622,0.598,0.302
1,105,0.322,0.325,0.513,0.654,0.385,0.611
1,105,0.385,0.398,0.582,0.712,0.453,0.671
1,105,0.484,0.507,0.678,0.78,0.556,0.747
1,105,0.589,0.62,0.765,0.825,0.656,0.804
1,105,0.691,0.733,0.831,0.828,0.744,0.832
1,105,0.746,0.797,0.85,0.786,0.779,0.815
1,105,0.763,0.821,0.833,0.717,0.773,0.77
1,105,0.74,0.807,0.769,0.604,0.725,0.68
1,105,0.685,0.757,0.679,0.483,0.651,0.579
1,105,0.606,0.675,0.566,0.357,0.557,0.465
1,105,0.518,0.572,0.44,0.239,0.459,0.343
1,105,0.057,0.108,0.518,0.499,0.621,0.608
1,105,0.094,0.175,0.596,0.581,0.684,0.68
1,105,0.174,0.281,0.694,0.682,0.75,0.764
1,105,0.275,0.399,0.773,0.765,0.785,0.812
1,105,0.401,0.536,0.831,0.824,0.786,0.836
1,105,0.509,0.644,0.846,0.843,0.754,0.822
1,105,0.615,0.745,0.834,0.826,0.689,0.774
1,105,0.711,0.821,0.78,0.763,0.59,0.685
1,105,0.772,0.86,0.687,0.661,0.471,0.567
1,105,0.79,0.853,0.586,0.553,0.364,0.453
1,105,0.773,0.807,0.467,0.424,0.254,0.331
1,105,0.191,0.229,0.497,0.771,0.555,0.584
1,105,0.245,0.289,0.577,0.8,0.621,0.66
1,105,0.34,0.392,0.679,0.814,0.697,0.747
1,105,0.452,0.506,0.76,0.793,0.746,0.8
1,105,0.575,0.634,0.819,0.731,0.76,0.823
1,105,0.667,0.725,0.835,0.651,0.737,0.808
1,105,0.738,0.797,0.817,0.545,0.681,0.757
1,105,0.778,0.836,0.756,0.413,0.589,0.666
1,105,0.767,0.828,0.654,0.282,0.479,0.543
1,105,0.722,0.784,0.545,0.185,0.383,0.425
1,105,0.643,0.703,0.418,0.114,0.287,0.297
1,105,0.362,0.411,0.598,0.342,0.372,0.7
1,105,0.428,0.483,0.654,0.417,0.445,0.746
1,105,0.539,0.606,0.739,0.547,0.567,0.81
1,105,0.626,0.703,0.794,0.655,0.662,0.83
1,105,0.696,0.783,0.822,0.751,0.74,0.821
1,105,0.742,0.838,0.815,0.831,0.792,0.767
1,105,0.751,0.843,0.773,0.859,0.797,0.677
1,105,0.726,0.813,0.706,0.848,0.766,0.576
1,105,0.665,0.739,0.607,0.799,0.696,0.449
1,105,0.581,0.638,0.497,0.713,0.602,0.317
1,105,0.488,0.525,0.386,0.605,0.493,0.204
1,105,0.165,0.464,0.351,0.334,0.314,0.518
1,105,0.226,0.532,0.424,0.401,0.367,0.588
